TrialID,ID,Mass_kg,LapNum,T_Start_s,T_End_s,Seg_Dur_s,Breaths_In_Seg,First_Breath_In_Station_s,Lap_Time_s,Station_Time_s,CO2_ml_per_kg_min,O2_ml_per_kg_min,ODBA_g
Trial17_57,01L5,156,7,406.065,445.69,39.625,5,430.6925,24.6275,14.9975,5.823829168,9.12885222,0.445223302
Trial17_57,01L5,156,8,445.69,491.055,45.365,4,470.145,24.455,20.91,5.448965231,8.864848367,0.462411186
Trial17_57,01L5,156,9,491.055,530.455,39.4,5,516.635,25.58,13.82,6.439867239,9.332292073,0.435351521
Trial17_63,01L5,156,1,153.05,200.55,47.5,4,182.73,29.68,17.82,3.377327935,3.688259109,0.302403215
Trial17_63,01L5,156,2,200.55,245.5425,44.9925,4,231.1625,30.6125,14.38,4.338329893,5.465868243,0.28001387
Trial17_63,01L5,156,3,245.5425,302.7875,57.245,4,276.3125,30.77,26.475,5.045788346,7.252228948,0.298475754
Trial17_63,01L5,156,4,302.7875,349.83,47.0425,4,331.195,28.4075,18.635,4.799260897,6.553811815,0.319214647
Trial17_63,01L5,156,5,349.83,398.3025,48.4725,4,379.865,30.035,18.4375,5.473365152,7.606216054,0.295527385
Trial17_63,01L5,156,6,398.3025,452.7575,54.455,4,427.6525,29.35,25.105,4.939152299,7.333507554,0.300690159
Trial17_63,01L5,156,7,452.7575,500.58,47.8225,4,485.3875,32.63,15.1925,4.852077193,6.571576784,0.251344226
Trial17_63,01L5,156,8,500.58,553.49,52.91,4,527.4125,26.8325,26.0775,6.549583473,9.429655584,0.388217934
Trial17_63,01L5,156,9,553.49,606.35,52.86,4,583.1125,29.6225,23.2375,5.542216013,7.520591403,0.292322751
Trial17_63,01L5,156,10,606.35,639.635,33.285,3,623.4625,17.1125,16.1725,6.38887926,8.450329901,0.316076112
Trial17_71,01L5,156,1,129.6575,195.1175,65.46,4,169.145,39.4875,25.9725,2.994782486,3.49126889,0.233293174
Trial17_71,01L5,156,2,195.1175,258.7825,63.665,5,236.3925,41.275,22.39,3.487002278,4.603422965,0.267412051
Trial17_71,01L5,156,3,258.7825,314.67,55.8875,4,298.1125,39.33,16.5575,3.959189994,5.267450063,0.21174178
Trial17_71,01L5,156,4,314.67,378.0525,63.3825,4,354.6875,40.0175,23.365,2.930316242,4.109967262,0.189630725
Trial17_71,01L5,156,5,378.0525,452.7025,74.65,4,412.2625,34.21,40.44,3.919315781,5.934875573,0.232209779
Trial17_71,01L5,156,6,452.7025,514.61,61.9075,4,488.8275,36.125,25.7825,4.369422122,5.787791339,0.216848515
Trial17_71,01L5,156,7,514.61,568.0875,53.4775,4,549.16,34.55,18.9275,5.4537674,7.292786686,0.218020532
Trial17_71,01L5,156,8,568.0875,632.6025,64.515,4,604.1225,36.035,28.48,4.457520314,6.108895367,0.207009775
Trial17_71,01L5,156,9,632.6025,689.0175,56.415,4,668.3675,35.765,20.65,4.625065619,6.356056423,0.240567429
Trial17_82,01L5,156,1,144.0275,205.9725,61.945,3,183.2125,39.185,22.76,2.826328567,3.488206039,0.218149022
Trial17_82,01L5,156,2,205.9725,263.725,57.7525,3,245.7125,39.74,18.0125,2.869672642,3.693479803,0.200133935
Trial17_82,01L5,156,3,263.725,326.5575,62.8325,3,301.9825,38.2575,24.575,3.505045466,5.027408035,0.20952938
Trial17_82,01L5,156,4,326.5575,383.94,57.3825,3,361.85,35.2925,22.09,3.551069242,5.14630231,0.237005489
Trial17_82,01L5,156,5,383.94,434.95,51.01,4,413.08,29.14,21.87,4.140213834,6.091565756,0.316796737
Trial17_82,01L5,156,6,434.95,486.85,51.9,4,462.325,27.375,24.525,4.736179043,6.96976434,0.371119173
Trial17_82,01L5,156,7,486.85,532.885,46.035,4,514.5875,27.7375,18.2975,5.221779415,7.539413991,0.330293929
Trial17_82,01L5,156,8,532.885,575.295,42.41,4,559.045,26.16,16.25,5.621859866,8.006094354,0.37095611
Trial17_82,01L5,156,9,575.295,632.17,56.875,4,603.545,28.25,28.625,4.699239222,7.508368555,0.340760684
Trial18_29,01L5,149,1,167.9475,211.89,43.9425,2,204.68,36.7325,7.21,2.794072333,2.356954425,0.228465807
Trial18_29,01L5,149,2,211.89,255.4475,43.5575,2,249.2025,37.3125,6.245,3.998417582,4.444946066,0.224352264
Trial18_29,01L5,149,3,255.4475,300.25,44.8025,2,292.13,36.6825,8.12,3.196130369,3.953818193,0.212463444
Trial18_29,01L5,149,4,300.25,345.5225,45.2725,2,334.4075,34.1575,11.115,4.029291676,5.624997915,0.226472241
Trial18_29,01L5,149,5,345.5225,390.7325,45.21,2,382.48,36.9575,8.2525,2.042370504,2.780759142,0.208717167
Trial18_29,01L5,149,6,390.7325,437.3475,46.615,2,427.9575,37.225,9.39,4.86607776,7.491323687,0.213670758
Trial18_29,01L5,149,7,437.3475,490.3225,52.975,3,475.25,37.9025,15.0725,4.022664863,5.640244385,0.202166102
Trial18_29,01L5,149,8,490.3225,537.18,46.8575,2,526.74,36.4175,10.44,4.246202699,6.001059187,0.215067642
Trial17_25,6JK5,209,1,124.305,188.085,63.78,3,158.165,33.86,29.92,4.073062156,3.811547169,0.239833208
Trial17_25,6JK5,209,2,188.085,253.935,65.85,3,222.0975,34.0125,31.8375,2.079541367,2.365096838,0.261279769
Trial17_25,6JK5,209,3,253.935,314.635,60.7,4,285.1125,31.1775,29.5225,5.76054484,7.316554078,0.274933713
Trial17_25,6JK5,209,4,314.635,366.6875,52.0525,3,345.2125,30.5775,21.475,5.091105801,6.329825726,0.289298089
Trial17_25,6JK5,209,5,366.6875,415.86,49.1725,3,395.69,29.0025,20.17,5.427237041,6.938759922,0.301101897
Trial17_25,6JK5,209,6,415.86,489.8225,73.9625,4,444.12,28.26,45.7025,4.059990959,5.607911031,0.305003784
Trial17_25,6JK5,209,7,489.8225,543.6125,53.79,3,517.9125,28.09,25.7,5.47797522,6.605165756,0.314844594
Trial17_25,6JK5,209,8,543.6125,619.0525,75.44,5,572.9825,29.37,46.07,4.768198816,6.192189236,0.30411831
Trial17_25,6JK5,209,9,619.0525,680.3225,61.27,3,649.2225,30.17,31.1,4.813895355,6.138489688,0.281273596
Trial17_39,6JK5,209,1,135.4425,198.05,62.6075,3,172.095,36.6525,25.955,2.878723237,2.62377419,0.279398327
Trial17_39,6JK5,209,2,198.05,246.46,48.41,3,233.3225,35.2725,13.1375,3.610310259,4.410888256,0.318175019
Trial17_39,6JK5,209,3,246.46,303.2225,56.7625,3,281.82,35.36,21.4025,3.970206592,4.954918978,0.286183736
Trial17_39,6JK5,209,4,303.2225,353.6375,50.415,3,336.995,33.7725,16.6425,4.654003351,6.091830154,0.305253927
Trial17_39,6JK5,209,5,353.6375,419.7475,66.11,4,394.3575,40.72,25.39,5.452851887,7.326631922,0.283270295
Trial17_39,6JK5,209,6,419.7475,465.155,45.4075,3,452.365,32.6175,12.79,4.371893331,6.189564094,0.334560277
Trial17_39,6JK5,209,7,465.155,513.065,47.91,3,498.6575,33.5025,14.4075,5.01059103,7.2396509,0.310556522
Trial17_39,6JK5,209,8,513.065,563.2,50.135,3,547.8925,34.8275,15.3075,5.077964138,6.654377678,0.296587676
Trial17_39,6JK5,209,9,563.2,614.2,51,3,597.085,33.885,17.115,5.5215311,7.186039966,0.321563626
Trial17_50,6JK5,209,1,142.0875,196.045,53.9575,4,169.27,27.1825,26.775,4.871989673,4.781008977,0.402363682
Trial17_50,6JK5,209,2,196.045,247.505,51.46,4,223.6525,27.6075,23.8525,6.618602826,7.78344122,0.3808378
Trial17_50,6JK5,209,3,247.505,298.32,50.815,4,273.6225,26.1175,24.6975,8.832489747,10.75728779,0.444805423
Trial17_50,6JK5,209,4,298.32,351.8125,53.4925,4,326.905,28.585,24.9075,7.00523013,8.971073841,0.40279387
Trial17_50,6JK5,209,5,351.8125,403.44,51.6275,4,376.83,25.0175,26.61,6.388605902,8.330377319,0.461729148
Trial17_50,6JK5,209,6,403.44,456.9275,53.4875,4,428.4675,25.0275,28.46,7.022523485,8.97405936,0.489077708
Trial17_50,6JK5,209,7,456.9275,508.325,51.3975,4,481.645,24.7175,26.68,7.926958263,10.28739552,0.459852455
Trial17_50,6JK5,209,8,508.325,550.6175,42.2925,4,531.8575,23.5325,18.76,10.95718386,13.22505348,0.523133291
