session,day,trial_number,treatment ,outcome ,EFD_combined
18,7,6,2,1,141.66808
18,7,7,2,0,141.3145304
18,7,8,2,0,145.0907733
18,7,9,2,1,132.5297778
18,7,10,2,1,137.6499487
18,7,11,2,0,140.9040391
19,8,1,5,1,148.9940641
19,8,2,5,0,157.4712046
19,8,3,5,0,150.047033
19,8,4,5,1,159.7149703
19,8,5,5,0,154.1314104
19,8,6,5,1,150.2391242
19,8,7,5,1,152.2647159
19,8,8,5,1,153.6140106
19,8,9,5,0,155.2814876
19,8,10,5,1,156.0959413
20,8,1,5,1,146.8188809
20,8,2,5,1,157.2832727
20,8,3,5,1,152.0069788
20,8,4,5,1,149.7852454
20,8,5,5,0,146.9155226
20,8,6,5,1,152.9210896
20,8,7,5,0,151.1717227
20,8,8,5,1,142.1090091
20,8,9,5,0,142.6269075
20,8,10,5,1,145.8823137
