TrialID,Animal_ID,State,ODBA_g,O2_ml_per_kg_min,W_per_kg
Trial17_79,83H1,Rest,0.043591644,3.406237425,1.141089537
Trial17_80,6JK5,Rest,0.02718838,1.70075188,0.56975188
Trial18_01,9FL3,Rest,0.015306869,0.934323915,0.312998512
Trial18_06,01L5,Rest,0.015454319,0.387727709,0.129888782
Trial18_09,6JK5,Rest,0.02718838,1.501632653,0.503046939
Trial19_05,6JK5,Rest,0.02718838,1.308973439,0.438506102
Trial19_06,9ON6,Rest,0.016893276,2.360997732,0.79093424
Trial19_15,01L5,Rest,0.015454319,2.348358474,0.786700089
Trial19_16,9ON6,Rest,0.016893276,1.429478458,0.478875283
Trial19_20,6JK5,Rest,0.02718838,0.418234027,0.140108399
Trial19_21,9FL3,Rest,0.015306869,1.55708502,0.521623482
Trial19_39,83H1,Rest,0.043591644,4.437181996,1.486455969
Trial19_40,9FL3,Rest,0.015306869,1.42070561,0.475936379
